date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:04	1910488/1910488	---M--	200	added ('OK')	application/octet-stream	etag:%2279cf846a419a3cc4eeeaef9b6267d791%22	https://cdn.hugeicons.com/font/hgi-stroke-rounded.eot?t=1721855138058	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/cdn.hugeicons.com/font/hgi-stroke-rounded13e8.eot	(from https://cdn.hugeicons.com/font/hgi-stroke-rounded.css)
10:05:05	659080/659080	---M--	200	added ('OK')	application/octet-stream	etag:%22b901b5104f6f6398d1d1775491a42dee%22	https://cdn.hugeicons.com/font/hgi-stroke-rounded.woff2?t=1721855138058	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/cdn.hugeicons.com/font/hgi-stroke-rounded13e8.woff2	(from https://cdn.hugeicons.com/font/hgi-stroke-rounded.css)
10:05:05	1910280/1910280	---M--	200	added ('OK')	application/octet-stream	etag:%22e229171793d302e94bf35bb33b312b3a%22	https://cdn.hugeicons.com/font/hgi-stroke-rounded.ttf?t=1721855138058	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/cdn.hugeicons.com/font/hgi-stroke-rounded13e8.ttf	(from https://cdn.hugeicons.com/font/hgi-stroke-rounded.css)
10:05:06	881976/881976	---M--	200	added ('OK')	application/font-woff	etag:%2224e181e2b98ecc647b985edcc24b5a9a%22	https://cdn.hugeicons.com/font/hgi-stroke-rounded.woff?t=1721855138058	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/cdn.hugeicons.com/font/hgi-stroke-rounded13e8.woff	(from https://cdn.hugeicons.com/font/hgi-stroke-rounded.css)
10:05:06	249839/249839	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/fonts/Calldera.ttf	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/fonts/Calldera.html	(from https://flex-global.web.app/_astro/agents-page.D3ggaKDO.css)
10:05:06	1586/1586	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/svgs/noise.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/svgs/noise.svg	(from https://flex-global.web.app/_astro/agents-page.D3ggaKDO.css)
10:05:06	1508/1508	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/svgs/radial-noise.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/svgs/radial-noise.svg	(from https://flex-global.web.app/_astro/agents-page.D3ggaKDO.css)
10:05:07	577/577	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/svgs/radial.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/svgs/radial.svg	(from https://flex-global.web.app/_astro/agents-page.D3ggaKDO.css)
10:05:07	62361/62361	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/personas/profile1.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/personas/profile1.jpg	(from https://flex-global.web.app/_astro/index.CcXY6T_K.css)
10:05:07	163571/163571	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/personas/profile2.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/personas/profile2.jpg	(from https://flex-global.web.app/_astro/index.CcXY6T_K.css)
10:05:07	106967/106967	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/personas/profile3.jpeg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/personas/profile3.jpg	(from https://flex-global.web.app/_astro/index.CcXY6T_K.css)
10:05:08	21964403/21964403	---M--	200	added ('OK')	image/svg+xml	etag:%22ed0d75ff9761e63884b53e42d389c41a%22	https://cdn.hugeicons.com/font/hgi-stroke-rounded.svg?t=1721855138058	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/cdn.hugeicons.com/font/hgi-stroke-rounded13e8.svg	(from https://cdn.hugeicons.com/font/hgi-stroke-rounded.css)
10:05:09	113485/113485	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/personas/profile4.jpeg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/personas/profile4.jpg	(from https://flex-global.web.app/_astro/index.CcXY6T_K.css)
10:05:09	333174/333174	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/personas/profile5.jpeg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/personas/profile5.jpg	(from https://flex-global.web.app/_astro/index.CcXY6T_K.css)
10:05:10	83309/83309	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/personas/profile6.jpeg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/personas/profile6.jpg	(from https://flex-global.web.app/_astro/index.CcXY6T_K.css)
10:05:10	298027/298027	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/obamacare.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/obamacare.jpg	(from https://flex-global.web.app/planes-salud/)
10:05:10	2131103/2131103	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/dental.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/dental.jpg	(from https://flex-global.web.app/planes-salud/)
10:05:10	9706/9706	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/aliados/logo6.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/aliados/logo6.svg	(from https://flex-global.web.app/planes-salud/)
10:05:11	1068300/1068300	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/medicare.png	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/medicare.png	(from https://flex-global.web.app/planes-salud/)
10:05:11	58281/58281	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/nuestros-servicios/pexels-cottonbro-7581090.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/nuestros-servicios/pexels-cottonbro-7581090.jpg	(from https://flex-global.web.app/nuestros-servicios/)
10:05:11	1801166/1801166	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/nuestros-servicios/pexels-cottonbro-7579831.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/nuestros-servicios/pexels-cottonbro-7579831.jpg	(from https://flex-global.web.app/nuestros-servicios/)
10:05:12	38039/38039	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/nuestros-servicios/pexels-mart-production-7089393.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/nuestros-servicios/pexels-mart-production-7089393.jpg	(from https://flex-global.web.app/nuestros-servicios/)
10:05:12	27357/27357	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/nuestros-servicios/pexels-thirdman-7659869.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/nuestros-servicios/pexels-thirdman-7659869.jpg	(from https://flex-global.web.app/nuestros-servicios/)
10:05:13	4353/4353	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/asesoria-personalizada.BioiwKkv.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/asesoria-personalizada.BioiwKkv.css	(from https://flex-global.web.app/asesoria-personalizada/)
10:05:13	4353/4353	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/card-id.DkDULMAH.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/card-id.DkDULMAH.css	(from https://flex-global.web.app/card-id/)
10:05:14	8838/8838	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/reclamos.BFRr3Ndf.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/reclamos.BFRr3Ndf.css	(from https://flex-global.web.app/reclamos/)
10:05:14	81684/81684	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/objetivos.jpg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/objetivos.jpg	(from https://flex-global.web.app/mision-vision/)
10:05:14	9424/9424	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/que-es-un-seguro-de-salud.D5oFcwm2.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/que-es-un-seguro-de-salud.D5oFcwm2.css	(from https://flex-global.web.app/que-es-un-seguro-de-salud/)
10:05:15	534984/534984	---M-Z	200	added ('OK')	image/png	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/img_agente2.png	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/img_agente2.png	(from https://flex-global.web.app/que-es-un-seguro-de-salud/)
10:05:15	11446/11446	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/tipos-de-planes-de-salud.BjptjTTd.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/tipos-de-planes-de-salud.BjptjTTd.css	(from https://flex-global.web.app/tipos-de-planes-de-salud/)
10:05:16	12258/12258	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/como-aplicar-al-seguro.B0Y_lyal.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/como-aplicar-al-seguro.B0Y_lyal.css	(from https://flex-global.web.app/como-aplicar-al-seguro/)
10:05:16	351/351	---M--	404	error ('Not%20Found')	application/xml	date:Sat,%2026%20Jul%202025%2016:05:16%20GMT	https://cdn.hugeicons.com/robots.txt		(from https://cdn.hugeicons.com/font/hgi-stroke-rounded.css)
